director,database frequency,idf
Xavier Beauvois,1,8.4468
Wych Kaosayananda,1,8.4468
Woo-Suk Kang,1,8.4468
Wolfgang Becker,1,8.4468
Wilson Yip,1,8.4468
William Wyler,1,8.4468
William Shatner,1,8.4468
William Sachs,1,8.4468
William Phillips,1,8.4468
William H. Macy,1,8.4468
William Gazecki,1,8.4468
William Eubank,1,8.4468
William Dear,1,8.4468
William Cottrell,1,8.4468
William Bindley,1,8.4468
William Arntz,1,8.4468
William A. Graham,1,8.4468
William A. Fraker,1,8.4468
Willard Huyck,1,8.4468
Will Canon,1,8.4468
Wil Shriner,1,8.4468
Wayne Thornley,1,8.4468
Wayne Beach,1,8.4468
Warren Sheppard,1,8.4468
Ward Roberts,1,8.4468
Walter Murch,1,8.4468
Wally Pfister,1,8.4468
Wallace Wolodarsky,1,8.4468
Wade Gasque,1,8.4468
W.D. Hogan,1,8.4468
Vondie Curtis-Hall,1,8.4468
Vladlen Barbe,1,8.4468
Vivek Agnihotri,1,8.4468
