actor,database frequency,idf
Essie Davis,2,7.7536
Eric Stoltz,2,7.7536
Emmanuelle Vaugier,2,7.7536
Emma Watson,2,7.7536
Emma Bell,2,7.7536
Emir Kusturica,2,7.7536
Eddie Marsan,2,7.7536
Eddie Izzard,2,7.7536
Dorian Missick,2,7.7536
Dolly Parton,2,7.7536
Diedrich Bader,2,7.7536
Denis Leary,2,7.7536
Denis Lavant,2,7.7536
Demián Bichir,2,7.7536
Del Zamora,2,7.7536
Debra Messing,2,7.7536
Deborah Kara Unger,2,7.7536
David Paymer,2,7.7536
David Keith,2,7.7536
David Hyde Pierce,2,7.7536
David Arquette,2,7.7536
Dave Chappelle,2,7.7536
Daryl Sabara,2,7.7536
Dany Boon,2,7.7536
Danneel Ackles,2,7.7536
Daniel Stern,2,7.7536
Dan Byrd,2,7.7536
Damon Wayans Jr.,2,7.7536
Craig T. Nelson,2,7.7536
Craig Roberts,2,7.7536
Craig Ferguson,2,7.7536
Corbin Bernsen,2,7.7536
Common,2,7.7536
Cliff Robertson,2,7.7536
Clea DuVall,2,7.7536
Claude Rains,2,7.7536
Christopher Abbott,2,7.7536
Christian Clavier,2,7.7536
Cheech Marin,2,7.7536
Charlie McDermott,2,7.7536
Charles Napier,2,7.7536
Cedric the Entertainer,2,7.7536
Carlos Ponce,2,7.7536
Candice Bergen,2,7.7536
Campbell Scott,2,7.7536
Bruce Spence,2,7.7536
Bruce McGill,2,7.7536
Brittany Daniel,2,7.7536
Brighton Sharbino,2,7.7536
Brian Blessed,2,7.7536
Brandon T. Jackson,2,7.7536
Brad Garrett,2,7.7536
Bono,2,7.7536
Bolo Yeung,2,7.7536
Blythe Danner,2,7.7536
Blair Underwood,2,7.7536
Bjørn Sundquist,2,7.7536
Bingbing Fan,2,7.7536
Beverly D'Angelo,2,7.7536
Beth Grant,2,7.7536
Ben Gazzara,2,7.7536
Ben Feldman,2,7.7536
Bashar Rahal,2,7.7536
Barry Corbin,2,7.7536
Bailee Madison,2,7.7536
Austin Pendleton,2,7.7536
Armando Riesco,2,7.7536
Ariana Richards,2,7.7536
Andrew Fiscella,2,7.7536
Andrew Bujalski,2,7.7536
Alison Lohman,2,7.7536
Alice Krige,2,7.7536
Alexander Gould,2,7.7536
