ID;Title;Year;IMDb;Duration;Director;Actor;Genre;Keywords
184;After;2012;5.4;90;Ryan Smith;Sandra Ellis Lafferty;Fantasy|Horror|Mystery|Thriller;coma|crash
185;Against the Ropes;2004;5.3;110;Charles S. Dutton;Omar Epps;Biography|Drama|Romance|Sport;boxer|boxing
186;Against the Wild;2013;4.7;90;Richard Boddington;Natasha Henstridge;Adventure|Family;cave
187;Agent Cody Banks 2: Destination London;2004;4.5;100;Kevin Allen;Daniel Roebuck;Action|Adventure|Comedy|Family|Romance|Sci-Fi;chase|gadget|mind control|tough girl
188;Agent Cody Banks;2003;5.0;102;Harald Zwart;Daniel Roebuck;Action|Adventure|Comedy|Crime|Family|Romance|Thriller;cia|scientist|teenager
189;Agora;2009;7.2;141;Alejandro Amenábar;Max Minghella;Adventure|Drama|History|Romance;christian|love|slave
190;Aimee & Jaguar;1999;7.3;125;Max Färberböck;Heike Makatsch;Biography|Drama|Romance|War;
191;Air Bud;1997;5.1;98;Charles Martin Smith;Kevin Zegers;Comedy|Drama|Family|Sport;basketball|boy|dog|dog movie
192;Air Force One;1997;6.4;124;Wolfgang Petersen;Harrison Ford;Action|Adventure|Drama|Thriller;hostage|president|terrorist
193;Airborne;1993;6.2;91;Rob Bowman;Alanna Ubach;Adventure|Comedy|Sport;high school|hockey
194;Airlift;2016;8.5;130;Raja Menon;Nimrat Kaur;Action|Drama|History|Thriller|War;1990s|businessman
195;Airplane!;1980;7.8;88;Jim Abrahams;Peter Graves;Comedy;airplane|airport|pilot|spoof
196;Ajami;2009;7.4;124;Scandar Copti;Shahir Kabaha;Crime|Drama;arab|christian|violence
197;Akeelah and the Bee;2006;7.5;112;Doug Atchison;Curtis Armstrong;Drama;
198;Akira;1988;8.1;124;Katsuhiro Ôtomo;Mitsuo Iwata;Action|Animation|Sci-Fi;
199;Aladdin;1992;8.0;90;Ron Clements;Robin Williams;Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance;arab|magic|princess
200;Albert Nobbs;2011;6.7;113;Rodrigo García;Mia Wasikowska;Drama;19th century|hotel|painter|waiter
201;Albino Alligator;1996;6.1;97;Kevin Spacey;Viggo Mortensen;Crime|Drama|Thriller;bar|box office flop|hostage|police
202;Alex & Emma;2003;5.6;96;Rob Reiner;David Paymer;Comedy|Romance;gambling|writer
203;Alex Cross;2012;5.1;101;Rob Cohen;Cicely Tyson;Action|Crime|Mystery|Thriller;assassin|detective|partner|police|serial killer
204;Alex Rider: Operation Stormbreaker;2006;5.1;93;Geoffrey Sax;Alex Pettyfer;Action|Adventure|Family|Thriller;british|gadget|spy|training
205;Alexander and the Terrible, Horrible, No Good, Very Bad Day;2014;6.2;81;Miguel Arteta;Bella Thorne;Comedy|Family;birthday
206;Alexander's Ragtime Band;1938;7.0;106;Henry King;Tyrone Power;Drama|Musical|Romance;band|dance|singer
207;Alexander;2004;5.5;206;Oliver Stone;Anthony Hopkins;Action|Adventure|Biography|Drama|History|Romance|War;greek|king
208;Alfie;2004;6.2;103;Charles Shyer;Omar Epps;Comedy|Drama|Romance;best friend|friend|one night stand
209;Alias Betty;2001;6.9;103;Claude Miller;Sandrine Kiberlain;Comedy|Crime|Drama|Romance|Thriller;child|criminal|death|depression|novelist
210;Alice Through the Looking Glass;2016;6.4;113;James Bobin;Johnny Depp;Adventure|Family|Fantasy;queen|sequel
211;Alice in Wonderland;2010;6.5;108;Tim Burton;Johnny Depp;Adventure|Family|Fantasy;queen
212;Alien 3;1992;6.4;145;David Fincher;Charles S. Dutton;Action|Horror|Sci-Fi;alien|crash|planet|prison|survivor
213;Alien Uprising;2012;3.1;101;Dominic Burns;Julian Glover;Comedy|Sci-Fi;
214;Alien Zone;1978;4.1;79;Sharron Miller;Bernard Fox;Horror;affair|supernatural power
215;Alien: Resurrection;1997;6.3;116;Jean-Pierre Jeunet;Gary Dourdan;Action|Horror|Sci-Fi;alien|blood|clone|scientist
216;Aliens in the Attic;2009;5.4;86;John Schultz;Malese Jow;Adventure|Comedy|Family|Fantasy|Sci-Fi;alien|mind control
217;Aliens vs. Predator: Requiem;2007;4.7;102;Colin Strause;Sam Trammell;Action|Horror|Sci-Fi|Thriller;alien|escape
218;Aliens;1986;8.4;154;James Cameron;Michael Biehn;Action|Adventure|Sci-Fi;alien|monster
219;Alien;1979;8.5;116;Ridley Scott;Tom Skerritt;Horror|Sci-Fi;alien|creature|future|outer space|spaceship
220;Alive;1993;7.1;120;Frank Marshall;Illeana Douglas;Adventure|Biography|Drama|Thriller;crash|death|stranded
221;Ali;2001;6.8;165;Michael Mann;Will Smith;Biography|Drama|Sport;gym
222;All About Steve;2009;4.8;99;Phil Traill;Bradley Cooper;Comedy|Romance;eccentric
223;All About the Benjamins;2002;5.7;95;Kevin Bray;Mike Epps;Action|Comedy|Crime|Thriller;black comedy|bounty hunter|diamond|machismo|money
224;All Good Things;2010;6.3;101;Andrew Jarecki;Ryan Gosling;Crime|Drama|Mystery|Romance|Thriller;friend|murder|new york city|trial
225;All Hat;2007;5.3;89;Leonard Farlinger;Keith Carradine;Western;cowboy|horse
226;All Is Bright;2013;5.6;107;Phil Morrison;Sally Hawkins;Comedy|Drama;new york|salesman
227;All Is Lost;2013;6.9;106;J.C. Chandor;Robert Redford;Action|Adventure|Drama;boat|sea|storm
228;All Superheroes Must Die;2011;4.0;78;Jason Trost;Sean Whalen;Sci-Fi|Thriller;kidnapping|superhero
229;All That Jazz;1979;7.8;123;Bob Fosse;Roy Scheider;Comedy|Drama|Music|Musical;dancer|stand up comedian|surgery|vomiting
